,Clusters,organization_name,naics_code
3508,[195],Waste Connections of Canada,562210.0
3509,[2305],Bayview-Wildwood Resorts Limited,721113.0
3510,[1453],Trimac Transportation Services Inc.,484221.0
3511,[1335],Halton District School Board,611110.0
3512,[1481],Shepherds of Good Hope,624220.0
3513,[1356],Belleville Public Library Board,519121.0
3514,[3162],Spada Tile Inc,238340.0
3515,[1691],Bruce Telecom Ontario Inc.,517111.0
3516,[2138],Conseil Scolaire Catholique Du Nouvel-Ontario,611110.0
3517,[2809],Kamich Steel System Corp,238220.0
3518,[1932],Chartwells,722310.0
3519,[61],Hamilton Program For Schizophrenia Inc,621420.0
3520,[502],Surewerx,417230.0
3521,[205],Mon Sheong Home For The Aged,623110.0
3522,[2557],WCG Autocorp Inc. O/A Superior Chrysler Dodge Jeep,441110.0
3523,[1356],Bella Senior Care Residences Inc.,623110.0
3524,[1277],Treco Development Corp (La Chaumiere Retirement Residence),623310.0
3525,[2373],President Place Ltd. operating as Clarion,721111.0
3526,[1388],Next Generation Development,238140.0
3527,[2744],Jemini Construction Ltd,236220.0
3528,[2772],Niagara River City Enterprises,238910.0
3529,[1341],Maple Leaf Sports & Entertainment Ltd,711319.0
3530,[2736],Residence St Louis,623110.0
3531,[394],McMaster University,611310.0
3532,[2022],Regional Curb,237310.0
3533,[1978],Regional Municipality of Halton,621494.0
3534,[27],Aramark Canada Ltd.,454210.0
3535,[496],Jimmy Mack & Son Construction Ltd,237310.0
3536,[1433],Kawartha Lakes Police Services Board,913130.0
3537,[889],Minto Counselling Centre/Centre de Counselling Minto,624190.0
3538,[1994],"2357572 Ontario Corp, Mcmillan Plumbing & Heating",238220.0
3539,[2369],Uxbridge Cottage Hospital (Markham Stouffville Hospital),622111.0
3540,[720],Port Colborne Quarries Inc.,212314.0
3541,[43],Fratcom Resources Limited (Capital Hill Hotel and Suites),721111.0
3542,[2870],Glen Hill Strathaven,623110.0
3543,[232],Canpar Transport Lp/Canpar Transport Sec,484121.0
3544,[987],B T F Installations,238220.0
3545,[2503],Sora Construction Ltd,237110.0
3546,[1885],Corporation of The County of Lambton,519121.0
3547,[825],Crossby-Dewar Projects Inc,237130.0
3548,[1458],Nestlé Canada Inc,311520.0
3549,[1423],Mcknight & Sons Plumbing & Heating Inc,236110.0
3550,[869],HGC Management Inc,562210.0
3551,[2938],Thunder Bay Tractor Ltd,237990.0
3552,[881],"Haliburton, Kawartha, Pine Ridge District Health Unit",621494.0
3553,[1050],Acculine Road Markings,237990.0
3554,[1392],Richtree Markets Inc.,722511.0
3555,[45],"United Food and Commercial Workers Canada, Local 175",813930.0
3556,[1980],Franton Homes Inc,236110.0
3557,[520],Con-Way Contracting Inc,238990.0
3558,[2382],Peninsula Construction Incorporated,238990.0
3559,[2787],Braemar Retirement Centre,623110.0
3560,[468],TO Live,711111.0
3561,[765],Toromont CAT,333619.0
3562,[2877],Residential Gas Fitting Contractors Association of Ontario,238220.0
3563,[1885],Corporation of the City of Pembroke,913140.0
3564,[2318],Canadian Rail Car Cleaners Inc.,812320.0
3565,[1998],GBSP Centre Corp. o/a Young Centre for the Performing Arts,711111.0
3566,[2727],Champion Freeze Dry Lp,311420.0
3567,[1179],Hearst Power Distribution Company,221122.0
3568,[643],"1103586 Ontario Ltd, Lakehead Labour Centre",813930.0
3569,[27],Aramark Canada Ltd.,561722.0
3570,[541],Paramed Home Health Care,621610.0
3571,[392],Guelph Independent Living,623110.0
3572,[200],Alpine Building Maintenance Inc.,561722.0
3573,[839],Leo Alarie And Sons Ltd,237130.0
3574,[1712],Aspen Aluminum Div of Klondike Vinyl Building Products Ltd,238160.0
3575,[695],B & M Mailing Services Ltd.,323119.0
3576,[2672],Ottawa Salus Corporation,623210.0
3577,[911],Craig Hiebert,238350.0
3578,[113],GDI Services (Canada) LP,561722.0
3579,[1477],AlumaSafway Inc.,417210.0
3580,[1874],Peterborough Humane Society,813310.0
3581,[526],Windsor-Essex Catholic District School Board,611110.0
3582,[1422],Demeo Landscaping Inc,237990.0
3583,[1994],"2357572 Ontario Corp, Mcmillan Plumbing & Heating",238220.0
3584,[1004],Renotech Pgp Inc,238160.0
3585,[600],Board of Directors of the Sony Centre For The Performing Arts,711130.0
3586,[1464],CH Excavating (London) Ltd.,237990.0
3587,[1398],Lafarge Paving & Construction Ltd,237310.0
3588,[235],Del-Can Grading Ltd,237130.0
3589,[2361],Eagle Paving Co Ltd,237310.0
3590,[1206],Kensington Village Nursing Home,623110.0
3591,[3122],Wyvern Construction Ltd,237120.0
3592,[2754],J. N. F. Concrete Ltd.,237990.0
3593,[1425],Nutra Services Inc.,722310.0
3594,[2848],Drehmann Paving & Flooring Co,238340.0
3595,[139],Woodstock Hydro Services Inc,221122.0
3596,[1277],Trillium Health Partners (Queensway Health Centre and Mississauga Hospital),622111.0
3597,[939],V Ships Canada Inc,483115.0
3598,[67],F D M,237120.0
3599,[2447],Algoma Industrial Ltd,561799.0
3600,[1762],"Alumbrite, Division of Kromet International Inc.",332810.0
3601,[2053],"Sudbury Integrated Nickel Operations, a Glencore Company",212232.0
3602,[509],Jen-Dan Ltd,237310.0
3603,[400],Heritage Nursing Home,623110.0
3604,[1190],Carleton Place And District Memorial Hospital,622111.0
3605,[880],Northeastern Ontario Construction Association,237990.0
3606,[2678],Sewer Technologies Inc,236220.0
3607,[359],"WestRock Company of Canada, Inc.",541430.0
3608,[281],J-AAR Excavating,237990.0
3609,[2481],Coca-Cola Canada Bottling Limited,413210.0
3610,[770],EBS Geostructural Inc.,237990.0
3611,[1954],"CIMS Limited Partnership, AlumaSafway Services ULC, Triple Crown Enterprises Ltd.",238390.0
3612,[813],Windsor 17 Holdings Ltd,416320.0
3613,[575],Whiting Equipment Canada Inc.,333920.0
3614,[292],Professional Institute of The Public Service of Canada,813930.0
3615,[1142],Algoma District School Board,611110.0
3616,[342],San-Jac Concrete & Drains Ltd,237990.0
3617,[1755],Chemtrade Logistics,325189.0
3618,[1683],"Stratford Beacon Herald, A Division of Sun Media Corporation",511110.0
3619,[1358],Doubletree By Hilton Toronto Airport West Hotel,721111.0
3620,[1142],Algoma Central Railway Inc,482114.0
3621,[366],Inter County Concrete Products Limited,327320.0
3622,[1999],Electrical Power Systems Construction Association,237130.0
3623,[813],Windsor Wall Forming Ltd,238190.0
3624,[813],Winners Merchants Intl. LP,414110.0
3625,[1475],Goldblatt Partners LLP,541110.0
3626,[2375],Corporation of The Township of Muskoka Lakes,913910.0
3627,[460],Seasons Group And All Subsidiaries,315222.0
3628,[795],Pro-Drain (1984) Construction Ltd,237990.0
3629,[1161],Positive Living Niagara,624190.0
3630,[1437],Extendicare Guildwood,623110.0
3631,[854],Jt Printing,561430.0
3632,[2996],Kaymar Rehabilitation Inc.,624310.0
3633,[1899],Columbus Aluminum & Roofing Ltd,238160.0
3634,[1831],Owen Sound Transportation Company Limited,483116.0
3635,[1329],Carillion Services (Roh) Inc,561722.0
3636,[2716],Carpenters' Employer Bargaining Agency,238350.0
3637,[1485],Thomco Pallet and Box Division of 1323817 Ontario Inc.,321920.0
3638,[377],Charles Darrow Housing Co-Operative Inc,531112.0
3639,[1244],Unicco Facility Services Canada Co,561722.0
3640,[1365],Solmar Management Corp,236110.0
3641,[2138],Conseil Des Ecoles Publiques De L'Est De L'Ontario,611110.0
3642,[643],2075064 Ontario Ltd (Psc Civil Construction),236220.0
3643,[2471],COSTI Immigrant Services,624190.0
3644,[1967],Ready Bake Foods Inc.,311824.0
3645,[171],National Hockey League,711211.0
3646,[1937],Aye Company Limited o/a Central Taxi,485310.0
3647,[1082],Woodstock General Hospital Trust,622111.0
3648,[1935],Riverside Paving of Windsor Ltd,237990.0
3649,[377],Chartwell Centennial Retirement Residence,623310.0
3650,[2382],Perth And Smiths Falls District Hospital,622111.0
3651,[2674],Global Spectrum Facility Management LP,711311.0
3652,[1639],PepsiCo Foods Canada,311230.0
3653,[998],Tilbury Concrete Inc,238190.0
3654,[1817],Bee-Clean (Toronto) Ltd.,561722.0
3655,[356],Canadian Bank Note Company Limited,323119.0
3656,[2011],Womens College Hospital,622111.0
3657,[2642],Yee Hong Centre For Geriatric Care,623110.0
3658,[2877],Reimar Construction Corp (Reimar Forming & Construction),236220.0
3659,[100],Pentagon Masonry Ltd,238140.0
3660,[13],"HCN-Revera Lessee (Forest Hill Place) LP by its general partner HCN-Revera Lessee (Forest Hill Place) GP Inc, operating as Forest Hill Place",623310.0
3661,[1642],Barrie Police Services Board,913130.0
3662,[604],Keay Nursing Homes o/a - E. J. McQuigge Lodge,623110.0
3663,[1837],Karma Candy Inc.,311340.0
3664,[1335],Halton District School Board,611110.0
3665,[45],University of Toronto Students Administrative Council,813410.0
3666,[214],Duron Ontario Ltd,238390.0
3667,[2275],Mobi-Spra (854846 Ontario Inc),238140.0
3668,[360],Rexall/Pharma Plus Pharmacies Ltd.,446110.0
3669,[2644],Community Living Toronto,623210.0
3670,[388],Orillia Soldiers' Memorial Hospital,622111.0
3671,[690],St Josephs Health Centre,622111.0
3672,[1226],Thunder Bay Emergency Shelter Inc,624220.0
3673,[49],Brook Restoration Ltd,238390.0
3674,[2406],Ryerson University,611310.0
3675,[171],National Grocers Co Ltd,413190.0
3676,[3016],D & E Wood Industries Ltd,337213.0
3677,[2672],Ottawa Fertility Clinic,621110.0
3678,[956],Holiday Inn Express Whitby/Oshawa,721111.0
3679,[874],Colonel-By Child Care Inc,624410.0
3680,[145],Metro Ontario Inc,413110.0
3681,[34],Victorian Order of Nurses,621610.0
3682,[3136],Specialized Packaging London,322299.0
3683,[324],2032686 Ontario Ltd (Bmc Masonry),236220.0
3684,[2883],498326 Ontario Limited o/a DowntownToyota,441110.0
3685,[266],East End Construction Ltd.,238350.0
3686,[3127],Coco Paving (1990) Inc,237130.0
3687,[2677],Joseph Brant Hospital,622111.0
3688,[2202],Alcar Carpentry & Interiors Inc,238350.0
3689,[2644],Community Living Hamilton,623210.0
3690,[78],Hurley Corp,561722.0
3691,[3180],A & E Contracting Inc (1119322 Ontario Inc),237990.0
3692,[2302],Niagara Catholic District School Board,611110.0
3693,[1946],Tacc Construction Ltd.,237310.0
3694,[2821],Inergi L.P.,541510.0
3695,[1885],Corporation of The Town of Innisfil,913910.0
3696,[1992],Heathwood Group of Companies/Heron Group,236110.0
3697,[20],995451 Ontario Inc (Quality Mechanical),238.0
3698,[2883],1777686 Ontario Inc O/A Request Solutions,238990.0
3699,[2453],Richmond Tile Ltd,238340.0
3700,[709],PHE Contractors Sales Ltd.,238990.0
3701,[2099],Trillium Lakelands District School Board,611110.0
3702,[1491],Grand Erie District School Board,611110.0
3703,[1103],714794 Ontario Ltd (L M Enterprises),237310.0
3704,[424],National Grocers Co Ltd (Transport Div),413110.0
3705,[746],McCall Centre for Continuing Care,623110.0
3706,[1],Rocky River Construction Ltd,236110.0
3707,[1508],Camaro Enterprises Ltd,237310.0
3708,[2865],O-I Canada Corp.,327214.0
3709,[1949],Hellenic Home for the Aged Inc,623110.0
3710,[2152],Discovery School Based Child Care Program of Kingsville Inc.,624410.0
3711,[2768],Inkas Security Services Ltd,561612.0
3712,[1461],77 Howard Residences Ltd.,531111.0
3713,[293],Pine Valley Corporation,238990.0
3714,[690],St Josephs Health Centre,622111.0
3715,[2916],Regional Curb Inc,237990.0
3716,[1625],Runnymede Development Corp,238910.0
3717,[1878],Rykka Care Centre Lp carrying on busines as Anson Place Care Centre,623110.0
3718,[2568],Mcnolty Mechanical,238220.0
3719,[2900],Primary Response Inc.,561612.0
3720,[585],Urban Solutions,238340.0
3721,[622],Olympic Wholesale Co. Ltd.,413190.0
3722,[1358],Dollar Thrifty Automotive Group Canada Inc.,532111.0
3723,[3104],O.Ciccarelli & Sons Ltd,237310.0
3724,[425],Corporation of the City of Markham,913910.0
3725,[661],Jackson Ultima Skate Company a Division of Tournament Sports Marketing,339920.0
3726,[1994],1084408 Ontario Inc o/a Superior Facility Services,561722.0
3727,[308],University Settlement,624190.0
3728,[1656],Able Environmental Services Inc,
3729,[3129],Baybridge (St. Catharines) Inc. o/a Amica at St. Catharines Place,623310.0
3730,[424],Nathan Reid Homes Ltd & Reidco (86) Ltd,238310.0
3731,[1009],Snc-Lavalin Operations And Maintenance Inc,541330.0
3732,[242],Radio Carleton Incorporated,515110.0
3733,[757],1017828 Ontario Inc,237110.0
3734,[1020],Metcap Living Properties Inc.,531310.0
3735,[359],Western Canada Express Inc.,484121.0
3736,[1762],Algonquin And Lakeshore Catholic District School Board,611110.0
3737,[643],1652472 Ontario Inc O/A North Key Construction,237130.0
3738,[674],Birmingham Retirement Community,623310.0
3739,[2310],Freeman Audio Visual,532210.0
3740,[2441],Mintech Canada Inc,418990.0
3741,[963],"Royal Canadian Legion, Branch 43",813410.0
3742,[1099],Blanche River Health,622111.0
3743,[2030],S.A.S.S. Contracting Ltd,237310.0
3744,[1441],Innovaterra Corp,238120.0
3745,[45],"United Contracting (London), 1123481 Ontario Ltd.",237990.0
3746,[1537],Morriston Park Nursing Home,623110.0
3747,[1993],Stratford Shakespearean Festival of Canada,711111.0
3748,[2565],Legends Carpentry Ltd.,238350.0
3749,[57],Coco Paving Inc.,238990.0
3750,[1953],Montage Support Services of Toronto,623210.0
3751,[1120],Northern Credit Union Limited,522130.0
3752,[2527],Ottawa-Carleton District School Board,611110.0
3753,[931],Children's Hospital of Eastern Ontario - Ottawa Children's Treatment Centre,622112.0
3754,[1356],Belleville Police Services Board,913130.0
3755,[13],HCN-Revera Lessee (Maplecrest) by its General Partner HCN-Revera Lessee (Maplecrest) GP Inc.,623310.0
3756,[1888],Newgate 180 Addiction Solutions,621420.0
3757,[1391],Tendercare Living Centre Nursing Home,623110.0
3758,[294],Atlas Cold Storage Canada Ltd,493120.0
3759,[2731],Castlegreen Co-Operative,531112.0
3760,[319],Nei Construction Corp,237310.0
3761,[902],H & S Heat Treating,332810.0
3762,[1079],Revera Long Term Care Inc. operating as Riverside Place,623110.0
3763,[1022],Veolia Es Canada Industrial Services Inc,541990.0
3764,[1679],Pave-Tar Construction Ltd,237310.0
3765,[607],Oxford SC Walford Thunder Bay LP,623310.0
3766,[1379],Richmond Terrace Nursing Home,623110.0
3767,[2348],Cadillac Fairview Corp Ltd,531120.0
3768,[3],Airtime Canada Ulc (Boonstra's One Hour Heating & Air),236220.0
3769,[1093],Essex Terminal Railway Co,482112.0
3770,[61],Hamilton-Wentworth District School Board,611110.0
3771,[690],St. Joseph's Heritage,623110.0
3772,[1994],1622300 Ontario Corp (1000 Islands Mechanical Ltd),238220.0
3773,[897],Manitoulin Centennial Manor,623110.0
3774,[1549],Greenboard Holdings Ltd.,531310.0
3775,[1978],Regional Municipality of Halton,621911.0
3776,[2778],Bf Environmental Consultants Ltd,237110.0
3777,[2516],Renfrew Victoria Hospital,622111.0
3778,[408],IMT Partnership,332113.0
3779,[31],Neill-Wycik Co-Operative College Inc.,721310.0
3780,[726],Danaco Inc,236220.0
3781,[6],Cornwall And Area Housing Corporation,531112.0
3782,[425],Corporation of the Town of Lincoln,913910.0
3783,[1004],Renco Foods Ltd,445110.0
3784,[383],Ba International Inc,323119.0
3785,[186],Ford Motor Co of Canada Ltd,336110.0
3786,[1766],"Pure Metal Galvanizing ULC, A Valmont Company",332810.0
3787,[1899],Colleges and Institutes Canada (CICan),813920.0
3788,[126],Teranet Inc.,541514.0
3789,[1030],Capelas Homes Ltd,236110.0
3790,[308],Universal Showcase Ltd,337215.0
3791,[581],Amico Infrastructures (Oxford) Inc.,237990.0
3792,[2654],Lamas & Co Ltd,238160.0
3793,[3060],Cdn Auto Workers Union Local 200,813930.0
3794,[66],Maritime Employers Association,488310.0
3795,[239],Loeb Canada Inc,445110.0
3796,[1628],Thermal Process Systems Inc,238220.0
3797,[1535],Backwoods Inc,237310.0
3798,[889],Michael Bros Excavating (Royal Excavating & Grading Ltd),236220.0
3799,[692],JB Excavators (Algoma) Inc.,237110.0
3800,[2233],Domti Engineering & Construction Ltd,237310.0
3801,[2672],Ottawa Convention Centre,531120.0
3802,[3153],Sivi Construction Ltd,237310.0
3803,[2318],Canadian Professional Crane Inc,237990.0
3804,[1019],Country Terrace Nursing Home,623110.0
3805,[1947],Michener Institute For Applied Health Sciences,611310.0
3806,[1335],Halton Health Care Services,622111.0
3807,[1994],2445291 Ontario Inc. c.o.b. as Ramada Trenton Hotel,721111.0
3808,[707],"George Copp & Sons, Backhoe Service Ltd.",238910.0
3809,[425],Corporation of The Town of Whitby,913910.0
3810,[356],Canadian Corps of Commissionaires,561612.0
3811,[1370],All Canada Crane Rental Corp.,532410.0
3812,[1745],York Condominium Corporation No. 241,531310.0
3813,[1323],Metropolitan Toronto Apartment Builders' Association,236110.0
3814,[2906],Do-It Right Renovations Inc,236220.0
3815,[1773],Sharp Edge Cladding,238.0
3816,[932],Canadian Bbr Inc,238910.0
3817,[1416],B F G Canada Ltd.,311821.0
3818,[817],"London Free Press and London Flyer Force, Post Media Corporation",511110.0
3819,[572],Apex Investigation & Security Inc.,561612.0
3820,[154],Loc-Pave Construction Ltd,238140.0
3821,[1843],Courtice Auto Wreckers,237310.0
3822,[2107],Venbec Air Inc,238220.0
3823,[757],1545773 Ontario Ltd,236220.0
3824,[251],Upper Canada District School Board,611110.0
3825,[2964],J & A Cleaning Solutions Ltd.,561722.0
3826,[676],Terrapure Environmental,562210.0
3827,[653],Tendercare Nursing Homes Ltd (McNicoll Manor Retirement Home),623110.0
3828,[1999],Electrical Power Systems Construction Association,237130.0
3829,[267],Greater Toronto Residential Carpentry Contractors Assn,238130.0
3830,[243],2857952 Canada Inc (Services D'Ascenseur Regional),238291.0
3831,[2527],Ottawa-Carleton District School Board,611110.0
3832,[2326],Avancez Assembly Canada ULC,336390.0
3833,[2503],Sora Contractors Ltd,237310.0
3834,[1398],Laura's Your Independent Grocer,445110.0
3835,[1488],Avon Maitland District School Board,611110.0
3836,[1300],Compass Group Canada (Health Services) Ltd,722310.0
3837,[541],Paragon Protection Ltd.,561612.0
3838,[1388],Nepean Housing Corporation,531112.0
3839,[1784],Mar-Drain Ltd,237130.0
3840,[2024],Greenwin Property Management Inc,531111.0
3841,[1844],Toronto District School Board,611110.0
3842,[425],Corporation of The City of Kenora,913140.0
3843,[1009],Schlegel Villages Inc. cob as The Village of Glendale Crossing,623110.0
3844,[2883],1124760 Ontario Inc (Tricon Contracting),237110.0
3845,[688],Elgin Abbey Nursing Home,623110.0
3846,[988],Anndore House (Formerly Known As Comfort Inn Hotel Downtown),721111.0
3847,[813],Windsor Regional Hospital,622111.0
3848,[2584],Weston Bakeries Limited,413190.0
3849,[1390],Best Western Dryden Motor Inn,721111.0
3850,[2159],R Leblanc Roofing & Metal,238220.0
3851,[1918],Ontario Federation Of Students,813410.0
3852,[581],Amico Infrastructure (Oxford) Inc,237310.0
3853,[701],Campbell Childrens School Authority,611110.0
3854,[1332],Childrens Community Network,624110.0
3855,[1289],Willows Estate Long Term Care Home,623110.0
3856,[1120],North Wellington Health Care,622111.0
3857,[1041],Greater Essex County District School Board,611110.0
3858,[24],Imperial Parking Canada Corporation,812930.0
3859,[1257],Ontario Northland Transportation Commission,482114.0
3860,[1088],RONA/Arnprior Builders Supply,416310.0
3861,[139],Woodland Homes (Fridel Ltd),236110.0
3862,[1398],Larabie's Your Independent Grocer,445110.0
3863,[1544],Chartwell London,623110.0
3864,[2415],Oldcastle Building Products Canada Inc. (Permacon - Milton Plant),327330.0
3865,[354],TransAlta Generation Partnership,221119.0
3866,[1216],BFW Coupling Services Ltd,333990.0
3867,[1084],Grand And Toy Ltd,418210.0
3868,[576],Rycor Mechanical Inc,238220.0
3869,[852],Sutherland-Schultz Inc,238390.0
3870,[1449],Sault Area Hospital,622111.0
3871,[2083],RM Belanger Construction Limited,237990.0
3872,[2538],Agriculture Union,813930.0
3873,[1103],"1138319 Ontario Inc, Delta-Rae Homes",236110.0
3874,[782],Island Flashing,238220.0
3875,[1899],Collaborative Structures Limited,236220.0
3876,[885],Brian Trapp Contracting,237120.0
3877,[1437],Extendicare Brampton,623110.0
3878,[2078],"Canadian Union of Public Employees, Power Workers' Union",813930.0
3879,[1323],Metropolitan Toronto Condominium Corporation No. 706,531310.0
3880,[349],Curran Contractors Ltd.,237990.0
3881,[924],Metro Ontario Pharmacies Limited (Oak Pharmacies),446110.0
3882,[885],Bridgepoint Hospital,622310.0
3883,[836],Gccl Contracting Ltd,237130.0
3884,[2673],Unifor Local 414,813930.0
3885,[1071],E G Jones Sheet Metal Ltd,238220.0
3886,[1041],Great Lakes Speciality Meats Of Canada Inc.,311611.0
3887,[1626],National Grocers Co. Ltd (o/a The Real Canadian Wholesale Club – Mississauga),445110.0
3888,[284],DCMS Realty (Belleville) Limited Partnership operating as The Richmond Retirement Residence,623310.0
3889,[1576],Queens Garden & Regina Gardens,623110.0
3890,[1160],Tvg Construction Ltd,237990.0
3891,[1292],Atlantis Restoration Contracting Inc. and/or Atlantis Restoration Services Limited,238390.0
3892,[136],Resolute Forest Products,322122.0
3893,[2515],OPGI Management Limited Partnership (Oxford),531310.0
3894,[402],Garda Of Canada Security Corp.,561612.0
3895,[2276],Superior North Path Construction,237990.0
3896,[705],Maple Leaf Foods Inc.,311410.0
3897,[1595],Kohltech International Limited,326196.0
3898,[1120],North Bay Police Services Board,913130.0
3899,[1003],Cooney Transport Ltd.,484110.0
3900,[548],Markham Stouffville Hospital (Uxbridge Cottage Hospital),622111.0
3901,[183],Ventra Group Inc.,336370.0
3902,[492],Golden Years Nursing Home (Cambridge) Inc,623110.0
3903,[1003],Cobourg Public Library,519121.0
3904,[3131],P J Wallbank Manufacturing Co Ltd,332619.0
3905,[1484],Oldcastle Buidling Products Canada Inc.,327330.0
3906,[3072],Township of Edwardsburgh/Cardinal,913910.0
3907,[1257],Ontario Precast Concrete Manufacturers' Association,238120.0
3908,[1549],Grey Bruce Health Services,622111.0
3909,[912],Niagara Parks Commission,713990.0
3910,[1398],Lafarge Canada Inc/Lcm Eastern,327310.0
3911,[885],Bridgepoint Hospital,622310.0
3912,[1837],Karvon Homes Ltd,236110.0
3913,[48],Peel Condominium Corporation No. 240,531310.0
3914,[2357],Excalabur Backhoe Rental,237310.0
3915,[2646],Don Cordingley Gradall Rental Ltd,237130.0
3916,[272],Victorian Order of Nurses For Canada-Ontario Branch,621610.0
3917,[917],CAS of Canada/CAS Canada,481110.0
3918,[185],Lakehead District School Board,611110.0
3919,[1931],Tendercare Nursing Homes Ltd,623110.0
3920,[604],Keewatin-Patricia District School Board,611110.0
3921,[759],King Paving and Construction Ltd.,237310.0
3922,[3018],Revera Horizon Place Retirement Residence,623310.0
3923,[1994],638541 Ontario Limited o/a Wilson's Asphalt Paving,237310.0
3924,[1909],St. Joseph's Care Group,622310.0
3925,[1872],Beacon Utility Contractors Ltd,237130.0
3926,[1528],Lorne J Mcguire Plumbing,238220.0
3927,[1885],Corporation of the County of Lambton,621494.0
3928,[1349],Agmag Masonry,238140.0
3929,[66],Markland Plumbing & Heating Ltd,238.0
3930,[2882],Extreme Drilling,237990.0
3931,[425],Corporation of The Town of Hanover,913910.0
3932,[2491],Royal Ontario Museum,712115.0
3933,[2287],Lafarge Canada Inc.,327320.0
3934,[402],Garda Security Screening Inc.,561612.0
3935,[20],784233 Canada Ltd (Eastern Utility Inc),237130.0
3936,[541],ParaMed Home Health Care,621610.0
3937,[914],Sobeys Capital Incorporated (Safeway Operations),445110.0
3938,[2129],Trexcon Construction (1997) Ltd,236110.0
3939,[895],"Best Western Plus, Toronto North York Hotels & Suites",721111.0
3940,[1537],Mohawk Hospital Services Ltd,812330.0
3941,[1113],Rnd Plumbing Ltd,238220.0
3942,[113],Gdi Services (Canada) Lp,561722.0
3943,[165],Hodgson Custom Rolling Inc,331110.0
3944,[721],Dnm Lock-Block Ltd,327330.0
3945,[3108],Wingham and District Hospital,622111.0
3946,[1947],"Mibro, a Division of Richelieu Hardware Ltd",416330.0
3947,[1320],Ridalco Industries Inc,332210.0
3948,[16],Waste Management of Canada Corporation (Ottawa Hauling),562210.0
3949,[1835],"Genpak Lp, A Division of Great Pacific Enterprises",333990.0
3950,[1038],M Sullivan & Son Ltd,237310.0
3951,[2820],Sobeys West Inc. (Safeway Operations),447190.0
3952,[562],Community Living Belleville & Area,623210.0
3953,[586],Oakes Hotel,721111.0
3954,[2363],Regional Cancer Centres Employers Association,622310.0
3955,[0],Scandinavian Building Services,561722.0
3956,[980],General Motors of Canada Ltd,336110.0
3957,[771],Twd Roads Management Inc,237310.0
3958,[1604],Well-Bur Construction Ltd,236220.0
3959,[1114],Delcon Civil Contractors Inc,237120.0
3960,[1120],Norjohn Contracting & Paving Ltd,237990.0
3961,[963],Royal Ottawa Health Care Group,622210.0
3962,[1379],Ridge (Chatham) Holdings LP,562210.0
3963,[1111],Integration Communautaire Cochrane Community Living,623210.0
3964,[1569],Thames Valley District School Board,611110.0
3965,[2274],Winchester District Memorial Hospital,622111.0
3966,[2641],Elgin And St Thomas Housing Corp,913910.0
3967,[125],University of Toronto Schools,611110.0
3968,[244],Coppley Ltd. (Formerly Coppley Apparel Group Ltd),315220.0
3969,[1008],John-John Transportation Services Inc,484122.0
3970,[11],Providence Healthcare,622310.0
3971,[219],Geraldton District Hospital,622111.0
3972,[1669],Engineered Electric Controls Ltd,335315.0
3973,[999],Galrich Restoration Inc.,238990.0
3974,[769],Corporation of The Municipality of Chatham-Kent,623110.0
3975,[1885],Corporation of The City of Kingston,913910.0
3976,[252],Danruss,237110.0
3977,[591],Ainsworth Inc,238210.0
3978,[1352],Livingston Lodge Inc (9162-1182 Quebec Inc),623310.0
3979,[1103],740170 Ontario Inc (Bell Contracting),237120.0
3980,[2152],Diversicare Canada Management Services Co. Inc. c.o.b. as Hardy Terrace,623110.0
3981,[20],845677 Ontario Ltd (Francos Masonry Ltd),238140.0
3982,[2321],Pembroke Hirise Equipment Rental,237990.0
3983,[122],C-A Gradall Rentals,237310.0
3984,[1001],Peel District School Board,611110.0
3985,[2697],949547 Ontario Ltd,237110.0
3986,[1289],Wilson's Your Independent Grocer,445110.0
3987,[1770],Orchestra London Canada Inc,711112.0
3988,[1423],Mcknight & Sons Plumbing & Heating Inc,238220.0
3989,[1094],First Student Canada,485410.0
3990,[997],Oshawa Public Library Board,519121.0
3991,[3054],Lockerbie & Hole Contracting Ltd,238220.0
3992,[2382],Pentair Thermal Management (Canada) Ltd.,335920.0
3993,[1332],Children's Aid Society of Algoma,624110.0
3994,[6],Corporation of The City of Peterborough,913910.0
3995,[3180],Avion Motel Limited and/or Howard Johnson Express Inn & Suites,721111.0
3996,[1453],Triassic Construction Services,236220.0
3997,[914],Sobeys Capital Incorporated (Safeway Operations),445110.0
3998,[762],Orica Canada Inc.,325920.0
3999,[138],"St. Joseph's Lifecare Centre, Brantford",623110.0
4000,[2381],Society of St Vincent De Paul,453310.0
4001,[274],Bella Casa Masonry,238140.0
4002,[1885],Corporation of The Town of Englehart,913910.0
4003,[20],"916845 Ontario Ltd, d/b/a R J R  Transport",484121.0
4004,[2138],Coco Asphalt Engineering A Division of Coco Paving Inc.,327320.0
4005,[585],Urban Solutions,238340.0
4006,[903],Conseil Scolaire Catholique De District Des Grandes Rivières,611110.0
4007,[1417],Atlantic Excavating & Grading Ltd,238910.0
4008,[3160],Choice Nutritional Food Services Inc,722310.0
4009,[1573],Vta Construction Ltd,237310.0
4010,[903],Consulate General of Italy -  Italian Trade Commission,919110.0
4011,[769],Corporation of Norfolk County (Norview Lodge),623110.0
4012,[931],Chartwell Seniors Housing REIT carrying on business as Chartwell Oakville Retirement Residence,623310.0
4013,[1182],Community Living Peterborough,623210.0
4014,[72],Brantford Police Services Board,913130.0
4015,[2585],Ryerson Students Union,813410.0
4016,[219],Gerry Macera Contracting Ltd,238990.0
