,organization_name,naics_code,Predicted Cluster
5025,Mee-Quam Youth Residence,623999.0,[2475]
5026,Felton Brushes Limited,339990.0,[6]
5027,Canadian Blood Services,621990.0,[636]
5028,Graceview Enterprises Inc.,236220.0,[637]
5029,Metro Ontario Inc. C.O.B. as Metro Bayridge,445110.0,[82]
5030,Orangeville Police Services Board,913130.0,[1151]
5031,University of Guelph,611310.0,[155]
5032,Battlefield Bobcat Services,237990.0,[2716]
5033,842180 Ontario Ltd O/A Maple Leaf Construction,238340.0,[2482]
5034,Masco Canada Limited,332910.0,[106]
5035,Wescast Industries Inc,331511.0,[2740]
5036,ITWAL Limited,413190.0,[6]
5037,General Electric Canada,417930.0,[2485]
5038,Heritage Glen,623310.0,[1636]
5039,Corporation of the County of Huron Health Unit,621494.0,[136]
5040,Kinark Child And Family Services,624110.0,[530]
5041,William W Creighton Youth Services,624110.0,[2316]
5042,Brant Haldimand-Norfolk Catholic District School Board,611110.0,[100]
5043,Kensington Place Retirement Residence,623310.0,[1839]
5044,L S Z Construction Ltd,238140.0,[1355]
5045,Village on the St. Clair,623310.0,[355]
5046,Tbaytel,517210.0,[375]
5047,London Health Sciences Centre,622111.0,[157]
5048,Corporate Foods Ltd,493110.0,[2449]
5049,Nordell Excavating Ltd,238990.0,[2420]
5050,Concrete Forming (1980),238120.0,[328]
5051,Fort William Family Health Organization,621110.0,[2690]
5052,Hutton Transport Ltd,484121.0,[2989]
5053,Wilfrid Laurier University,611310.0,[295]
5054,Guelph General Hospital,622111.0,[300]
5055,Bell Canada,517112.0,[2101]
5056,Securitas Canada Limited,561612.0,[106]
5057,Extendicare (Canada) Inc,623110.0,[723]
5058,Thornton Group (2003) Inc,237110.0,[1256]
5059,Easyflow Mechanical Inc,238220.0,[50]
5060,Rexall/Pharma Plus Pharmacies Ltd,446110.0,[1570]
5061,Hermes Bakery Ltd,311814.0,[128]
5062,1434378 Ontario Inc O/A Commercial Cleaning Services,236220.0,[289]
5063,Community Living Georgina,623210.0,[2756]
5064,Skycrane Ltd,238120.0,[128]
5065,Snowy Hill Excavating Inc,237310.0,[187]
5066,Unifor Local 462,813930.0,[1145]
5067,CBI Home Health Hamilton,621610.0,[1327]
5068,Hillmer-Rossi Electric Ltd,238210.0,[999]
5069,Tip Top Cleaning Services,561722.0,[2022]
5070,Bn Caulking & Fireproofing Ltd,238140.0,[99]
5071,Jim Robinson Contracting Inc,237990.0,[599]
5072,Machell Park Inc O/A Howard Johnson Hotel,721111.0,[1198]
5073,St. Stanislaus-St. Casimir's Polish Parishes Credit Union Limited,522130.0,[1125]
5074,"1696606 Ontario Limited, c.o.b. Simcoe & Byng Freshco",445110.0,[1562]
5075,Gunther Mele Limited,339940.0,[6]
5076,Blair Mcilmoyle,238910.0,[2411]
5077,Global Spectrum Facility Management,711311.0,[526]
5078,Best Western Plus,721111.0,[513]
5079,Belron Canada Inc,,[144]
5080,St Joseph General Hospital Elliot Lake,622111.0,[755]
5081,Greater Sudbury Police Services Board,913130.0,[1753]
5082,"G6 Canada Hospitality ULC, d/b/a Motel 6",721114.0,[2124]
5083,Lecours Lumber Company Limited,321111.0,[3173]
5084,Assaulted Women's Helpline (AWHL),624190.0,[1091]
5085,Reliance Comfort LP,811412.0,[362]
5086,West Grey Police Services Board,913130.0,[2686]
5087,Oxford SC Terrace Toronto LP,623310.0,[2513]
5088,Renfrew County District School Board,611110.0,[1665]
5089,Fyfe Mechanical Plumbing & Heating,238220.0,[1577]
5090,District Municipality of Muskoka - The Pines Centre for Seniors,623110.0,[846]
5091,Emlco Contracting Inc,238390.0,[2515]
5092,Sunset Motel Ltd,721111.0,[128]
5093,Marciano Doors & Trim Co Ltd,238350.0,[638]
5094,1173691 Ontario Inc (Giesbrecht Concrete Floors),238120.0,[3081]
5095,Gravel Doctor Construction & Materials,238910.0,[500]
5096,Canadian Opera Company,711112.0,[456]
5097,Corporation of The City of Welland,913910.0,[2]
5098,Catholic Children's Aid Society of Toronto,624110.0,[2426]
5099,Better Living at Thompson House,623310.0,[1391]
5100,Low's Glass & Mirror Co. Ltd.,238150.0,[2252]
5101,Corporation of the Municipality of Magnetawan,913910.0,[59]
5102,Veolia ES Canada Industrial Services Inc.,541990.0,[175]
5103,L'Abbe Plumbing And Heating,238220.0,[461]
5104,HCL Logistics,493110.0,[2571]
5105,1627417 Ontario Inc (Gauthier Sheet Metal),238220.0,[3081]
5106,Carmeuse Lime (Canada) Limited,212314.0,[1472]
5107,Triad Contracting,237990.0,[184]
5108,Ward And Burk Micro Tunnelling Ltd,237990.0,[238]
5109,Hydro Ottawa Ltd,221122.0,[968]
5110,Rmm Sheet Metal Inc,238220.0,[216]
5111,Ottawa Police Services Board,913130.0,[1725]
5112,Wajax Power Systems,417230.0,[721]
5113,Fiorcon Construction Ltd,237310.0,[2527]
5114,Enzo Paving Inc,237990.0,[595]
5115,Pleasant Meadow Manor,623110.0,[288]
5116,Tendercare Nursing Homes Ltd,623110.0,[1229]
5117,"Board of Health for the Sudbury and District Health Unit, operating as Public Health Sudbury & Districts",621494.0,[296]
5118,Central Canadian District of the Christian and Missionary Alliance in Canada (Operating as Cama Woodlands),623110.0,[3114]
5119,Petro-Canada Lubricants Inc,324190.0,[2059]
5120,Neighbourhood Legal Services,541110.0,[2150]
5121,Villano Construction Limited,236220.0,[283]
5122,Corporation of the City of Kitchener,913910.0,[2]
5123,Board of Health of The Thunder Bay District Health Unit,621494.0,[296]
5124,Invista (Canada) Co,325220.0,[3096]
5125,National Basketball Assn,711211.0,[1033]
5126,Chateau Gardens Nursing Home (Lancaster),623110.0,[1579]
5127,Woodstock Police Services Board,913130.0,[1762]
5128,Nova Cold Logistics,493120.0,[2505]
5129,Corporation of the County of Huron Health Unit,621494.0,[136]
5130,United Way of Greater Toronto,813210.0,[2086]
5131,Flex-N-Gate Lakeshore Division,336370.0,[3073]
5132,Durham District School Board,611110.0,[492]
5133,Nipissing University,611310.0,[1111]
5134,InnPower Corporation,221122.0,[875]
5135,1193093 Ontario Inc (Three M Excavating & Grading),236110.0,[3081]
5136,Addictions Mental Health Services - KFLA,621420.0,[660]
5137,General Maintenance Services,237990.0,[1015]
5138,Central Communications,561420.0,[3114]
5139,Victorian Order of Nurses,621610.0,[13]
5140,Niagara Falls Humane Society,812910.0,[313]
5141,Peel Condominium Corporation #323,531310.0,[200]
5142,Thistle Printing Limited,323119.0,[1277]
5143,Corporation of The Municipality of Neebing,913910.0,[59]
5144,Essex Terminal Railway Company,482112.0,[2981]
5145,Childrens Mental Health Services,624110.0,[660]
5146,Police Services Board of the City of Brockville,913130.0,[36]
5147,Royal Conservatory of Music,611610.0,[1711]
5148,Osprey Media Publishing Inc,511110.0,[96]
5149,Halton District School Board,611110.0,[465]
5150,D. M. Robichaud Associates Ltd.,238910.0,[2356]
5151,A E Belmont Inc,237130.0,[2797]
5152,Fortinos Supermarket Ltd,445110.0,[128]
5153,1349200 Ontario Inc (Pdm Construction Services),237310.0,[3081]
5154,Board of Directors of Bridgepoint Hospital,622310.0,[2103]
5155,Children's Mental Health of Leeds and Grenville,621420.0,[660]
5156,DSI Underground (formerly Mansour Mining Technologies Inc.),332329.0,[375]
5157,Rykka Care Centre LP at Cooksville Care Centre,623110.0,[783]
5158,ATU Canada,813930.0,[264]
5159,Sarjeant Company Limited,327320.0,[1626]
5160,LiUNA Pension Fund of Central and Eastern Canada,526111.0,[1721]
5161,Extendicare (Canada) Inc,623110.0,[723]
5162,Copper River Inn and Conference Centre,721112.0,[2154]
5163,The Assn of Millwrighting Contractors of Ontario Inc,238299.0,[589]
5164,Crown in Right of Ontario Represented by Management Board of Cabinet (Ontario Government),912910.0,[302]
5165,PCN Construction Group Inc.,237110.0,[1308]
5166,Purolator Inc.,492110.0,[25]
5167,Simcoe County District School Board,611110.0,[292]
5168,Sarginson & Cox Construction Co Ltd,237990.0,[54]
5169,1887014 Ontario Ltd. O/A Service Master Contract Services Of London,,[964]
5170,Community Living Campbellford/Brighton,623210.0,[2756]
5171,Community Living London,623210.0,[2756]
5172,District School Board Ontario North East,611110.0,[93]
5173,Parkdale Activity-Recreation Centre,624310.0,[2015]
5174,Temiskaming Hospital,,[249]
5175,Bjw Tools & Equipment,236220.0,[883]
5176,Compass Group Canada (Morrison) Ltd,722310.0,[1031]
5177,Gss Security Ltd,561612.0,[503]
5178,Open Hands,623210.0,[375]
5179,Sarnia & District Society for Prevention of Cruelty to Animals,813310.0,[54]
5180,Servico Limited/Limitée,447190.0,[1376]
5181,786222 Ontario Inc. operating as Harold Phillips Haulage,238140.0,[807]
5182,Lorne J Mcguire Plumbing,236110.0,[699]
5183,PepsiCo Foods Canada,311919.0,[1491]
5184,Lafarge Paving & Construction Ltd,237310.0,[474]
5185,Paramed Home Health - Sault Ste. Marie,621610.0,[15]
5186,1791284 Ontario Inc,237120.0,[2122]
5187,Senate of Canada,911910.0,[1304]
5188,John Bear Buick Chevrolet Gmc Cadillac Ltd,441120.0,[1521]
5189,Town of Georgina Public Library Board,519121.0,[401]
5190,London Health Sciences Centre,622111.0,[157]
5191,Bell Technical Solutions Inc,517111.0,[2101]
5192,University of Toronto,611310.0,[437]
5193,Kinark Child And Family Services,,[530]
5194,Ornge,621912.0,[2827]
5195,1103324 Ontario Inc (Lacroix Contracting),236220.0,[3081]
5196,Multiseal Waterproofing & Restoration,236110.0,[99]
5197,St. Joseph's Heritage (Bethammi Nursing Home),623110.0,[919]
5198,Renfrew Victoria Hospital,622111.0,[2008]
5199,Wicks Construction and General Contracting Ltd. (Ontario Corporation Number 2124279),236110.0,[32]
5200,1403176 Ontario Ltd (Maple Bricklayers),238140.0,[2482]
5201,"Grand Valley Building Supplies Co., A Division of GVBS Inc.",416310.0,[2213]
5202,Nisbet Lodge Home For The Aged,623110.0,[1107]
5203,Belluz Group Ltd,238340.0,[436]
5204,Manel Construction,237990.0,[32]
5205,Leeds & Grenville Community Family Health Team (LGCFHT),621494.0,[1764]
5206,Borics Family Haircare Centres,812116.0,[2216]
5207,Heavy Construction Association of Windsor,237990.0,[645]
5208,Electrical Power Systems Construction Assn,237130.0,[55]
5209,Empire Paving Ltd,237310.0,[654]
5210,Highview Wilson Child Care Centre,624410.0,[2407]
5211,"Hamilton Web Printing, Hamilton Community News a Division of Metroland Media Group Ltd.",511110.0,[375]
5212,Impact Cleaning Services Ltd.,561722.0,[16]
5213,International Installation Inc,339950.0,[1237]
5214,Atlas Fence (1987) Inc,238990.0,[1139]
5215,Lafarge Canada Inc.,327320.0,[107]
5216,Heritage Nursing Home Ltd,623110.0,[1392]
5217,"Sandgate, Womens Shelter of York Region Inc",623991.0,[375]
5218,Autoliv Canada Inc,336390.0,[144]
5219,"Medical Pharmacies Group Limited (Oshawa, Clinic, Byron, Taunton, Courtice)",446110.0,[593]
5220,Richmond Sod Ltd.,238990.0,[812]
5221,St. Lawrence Seaway Management Corporation/Corporation de Gestion de la Voie Maritime du Saint-Laurent,488310.0,[1268]
5222,"Ottawa Citizen, a division of Postmedia Network Inc.",511110.0,[818]
5223,FCA Canada Inc.,415290.0,[1440]
5224,Corporation of The Town of Ajax,913910.0,[103]
5225,Fred Victor Centre,624220.0,[2015]
5226,Crane Canada Co (Crane Supply Pembroke Div),532490.0,[1500]
5227,Concreate Usl Ltd,238110.0,[2106]
5228,Group Mechanical Inc,238220.0,[345]
5229,Anishnawbe Mushkiki Inc.,621494.0,[806]
5230,Canscot Masonry Inc,238140.0,[1667]
5231,Road Mill Construction Inc,237990.0,[1182]
5232,University of Ottawa/Université d'Ottawa,611310.0,[1685]
5233,Waste Management of Canada Corporation,562210.0,[117]
5234,Turner Murray Contractors Inc,238120.0,[633]
5235,A W S Drywall,236110.0,[510]
5236,Underwriters Laboratories of Canada Inc,541380.0,[1304]
5237,Babcock Community Care Centre,623110.0,[339]
5238,Brenmar Heating & Air Conditing Ltd,238220.0,[2913]
5239,Magellan Aerospace Ltd (Haley Industries Ltd),331529.0,[618]
5240,Compass Canada Support Services Limited O/A Eurest Services,561722.0,[58]
5241,Diversicare Canada Management Services Co Inc c.o.b as Hardy Terrace,623110.0,[2333]
5242,Earth Boring Company Ltd.,237110.0,[1875]
5243,Mackenzie Health,622111.0,[223]
5244,University of Sudbury,611310.0,[39]
5245,Arnprior Builders Supplies,416310.0,[2804]
5246,Kilean Lodge,623110.0,[1362]
5247,Wellington Catholic District School Board,611110.0,[674]
5248,Royal Crown Aluminum Inc,238170.0,[1711]
5249,Conseil Scolaire Catholique Providence,611110.0,[1671]
5250,"Canada Catering, a division of Brown’s Fine Food Services Inc.",722320.0,[264]
5251,Frame Worx Contracting,236220.0,[184]
5252,MacKenzie Black Fabricating Company,332999.0,[207]
5253,Teamsters Canada Rail Conference,813930.0,[264]
5254,Middlesex-London Health Unit,621494.0,[1138]
5255,Corporation of The City of Orillia,913910.0,[2]
5256,Bee-Clean (Toronto) Ltd,561722.0,[396]
5257,GDI Services (Canada) LP,561722.0,[27]
5258,Carefor Health and Community Services,621610.0,[133]
5259,Tvg Construction Ltd,237990.0,[44]
5260,Glazier Medical Centre,621110.0,[1877]
5261,Corporation of the Town of Richmond Hill,913910.0,[103]
5262,1192473 Ontario Limited c.o.b. as Chartwell James Street Place,623310.0,[2294]
5263,Caressant Care Nursing and Retirement Homes Limited (Caressant Care on McLaughlin Road),623110.0,[1167]
5264,Massarella Construction Inc,237120.0,[2893]
5265,N. Tepperman Limited,442110.0,[359]
5266,1169756 Ontario Ltd (Afcon Construction Ltd),238140.0,[2482]
5267,Board of Governors of Exhibition Place,713110.0,[62]
5268,DOL Hydroseeding Inc.,238990.0,[3017]
5269,Harmony Infrastructure Inc,236220.0,[1513]
5270,Compass Group Canada Ltd.,722310.0,[7]
5271,Bruce Grey Child And Family Services,624110.0,[640]
5272,Touchstone Site Contractors Inc,238990.0,[855]
5273,Niagara Health System,622111.0,[715]
5274,Brock University,611310.0,[519]
5275,Ottawa-Carleton District School Board,611110.0,[24]
5276,"Country Fresh Packaging, an operating Division of Dominion Citrus Limited",413150.0,[2209]
5277,Inscape Corporation,337214.0,[875]
5278,Ontario Gaming East Limited Partnership,713210.0,[354]
5279,Ceva Freight Canada Corp.,484110.0,[2236]
5280,Sterling,238990.0,[1251]
5281,Budgetcar Inc. (City),532111.0,[25]
5282,St Josephs Home Care,,[80]
5283,Unicco Services Canada Co,561722.0,[262]
5284,Synergy Carpentry Inc,238350.0,[2241]
5285,Primate's World Relief and Development Fund,813310.0,[1975]
5286,Ontario Educational Communications Authority,515120.0,[824]
5287,Wilkinson Chutes Canada,332439.0,[264]
5288,Royal Fence Ltd.,238990.0,[206]
5289,Gm Tile Ltd,238140.0,[128]
5290,Corporation of The City of Woodstock,913910.0,[2]
5291,Sona Construction Limited,237990.0,[283]
5292,Charron Transport Limited,484210.0,[2763]
5293,Coores Construction Inc,237110.0,[2063]
5294,Superior Seamless Eavestrough,238350.0,[451]
5295,Syncreon,493110.0,[375]
5296,Valbruna Asw Inc,331110.0,[87]
5297,Hachette Distribution Services (Cda) Inc,451210.0,[2716]
5298,Ikon Concrete Finishers Inc,238120.0,[782]
5299,Lambton Hot Mix Ltd.,238990.0,[2085]
5300,S B And A Foundry Ltd,331529.0,[2243]
5301,Astenjohnson,314120.0,[375]
5302,Jim Mattice Company Ltd.,238910.0,[2687]
5303,University of Western Ontario Faculty Assn,813930.0,[598]
5304,L.S.Z. Construction Limited/1692298 Ontario Inc. o/a Maximus Construction,238140.0,[1254]
5305,R.A.B. Properties,531310.0,[1604]
5306,Expert Eavestroughing,238160.0,[375]
5307,Corporation of The County of Essex,913910.0,[136]
5308,Rocco Stucco Inc,236220.0,[87]
5309,Corporation of The City of Ottawa,913140.0,[2]
5310,Caressant Care Nursing and Retirement Homes Limited – Cambridge Country Manor,623110.0,[1167]
5311,Great Lakes Power Limited (GLPL),221121.0,[2265]
5312,619750 Ontario Ltd (Central Hotel Dryden),721111.0,[2482]
5313,Weston Bakeries Limited,311814.0,[229]
5314,York Condominium Corporation No. 111,531310.0,[2796]
5315,"Stratford Beacon Herald, A Division of Sun Media Corporation",511110.0,[219]
5316,Grizzly Concrete Cutting Inc.,236220.0,[554]
5317,Corporation of the City of Thunder Bay,913910.0,[2]
5318,La Résidence Prescott Et Russell/Prescott and Russell Residence Comtés Unis De Prescott Et Russell/United Counties of Prescott and Russell,623110.0,[1527]
5319,147067 Canada Inc (Plomberie Axel Plumbing),238220.0,[144]
5320,Lehigh Hanson Materials Limited,327320.0,[517]
5321,City of Pickering Public Library Board,519121.0,[1074]
5322,A & A Forming Ltd.,238190.0,[391]
5323,2356827 Ontario Ltd O/A Karhu Construction Ltd,238350.0,[303]
5324,Sutherland-Schultz Inc,238390.0,[691]
5325,East Side Mario's Fallsview,722511.0,[1461]
5326,Food And Commercial Workers Union Local 459,813930.0,[565]
5327,Bloorview School Authority,611110.0,[1216]
5328,Evenflow Plumbing & Heating,236110.0,[2229]
5329,Religious Hospitallers Of Saint Joseph Of The Hotel Dieu Of Kingston,622111.0,[668]
5330,Thresholds Homes and Supports Inc.,624120.0,[393]
5331,Bartek Masonry Ltd,238140.0,[473]
5332,Trinity Contracting & Landscaping Ltd,238990.0,[1016]
5333,Hand Association of Sewer Watermain and Road Contractors,237110.0,[132]
5334,2376440 Ontario Inc. cob as My Health Centre,621510.0,[807]
5335,Progress Childcare (Scarborough) Inc,624410.0,[87]
5336,Evripos Janitorial Services Ltd,561722.0,[829]
5337,Onbelay Automotive Inc.,332810.0,[806]
5338,J & A Cleaning Solutions Ltd,561722.0,[260]
5339,Ottawa Public Library Board,519121.0,[329]
5340,J M D Metals Inc,238220.0,[251]
5341,Cassavia Estate Homes,236110.0,[393]
5342,Hydro One Inc,221111.0,[754]
5343,"1148956 Ontario Ltd, As Winkel's Your Independent Grocer (Y.I.G.)",445110.0,[2047]
5344,Technicore Underground Inc.,237990.0,[2564]
5345,Canadian B B R  Inc.,238120.0,[108]
5346,Dalla Bona Construction Inc,238990.0,[664]
5347,Board of Governors of St. Jerome's University,611310.0,[62]
5348,RCSS Inc. operating business as Real Canadian Superstore,445110.0,[25]
5349,Mc Commercial Inc. A Sister Company Of Mabe Canada Inc.,335223.0,[987]
5350,Corporation of the Town of Newmarket,913140.0,[103]
5351,Kemira Water Solutions Canada Inc,325999.0,[1402]
5352,Aylmer Police Services Board,913130.0,[2494]
5353,110798898 Ontario Limited o/a Nutra 2000 (Ottawa),722310.0,[1619]
5354,First Source Electric Ltd,238210.0,[813]
5355,Child Development Institute,624110.0,[1399]
5356,C.E. MacPherson Co. (Division of Conrex Steel Ltd.),332319.0,[1332]
5357,Compass Canada Support Services Limited O/A Eurest Services,561722.0,[58]
5358,Ferma Construction Ltd,237310.0,[44]
5359,Able Crane Services Ltd,237990.0,[408]
5360,Bernardo Group Ltd,238340.0,[436]
5361,Carillion Construction Canada,237310.0,[1374]
5362,Mics Group of Health Services,622111.0,[745]
5363,Fiorino Concrete,236210.0,[782]
5364,Associated Mechanical Trades Inc,238220.0,[50]
5365,United Air Lines Inc,,[148]
5366,Halton Catholic District School Board,611110.0,[163]
5367,Gdi Services (Canada) Lp,561722.0,[27]
5368,St. Stephen's Community House,624190.0,[1987]
5369,Blue Star Earthmoving,238910.0,[1142]
5370,Alpha Free Flow Industries Ltd,332329.0,[118]
5371,Canadian Blood Services,621990.0,[636]
5372,Children's Hospital of Eastern Ontario,622112.0,[458]
5373,Michael Garron Hospital,622111.0,[325]
5374,Canada Revenue Agency (Cra),911910.0,[2962]
5375,St. Joseph's Continuing Care Centre operating as Hotel Dieu Hospital,622310.0,[1759]
5376,Cayuga Asphalt & Construction Co Ltd,237310.0,[3088]
5377,Outfront Media Canada LP,339950.0,[798]
5378,Board of Regents of Huntington University,611310.0,[2202]
5379,Maple-Crete Inc,237310.0,[1911]
5380,Martin-Brower of Canada,413110.0,[2530]
5381,Providence Care Centre - St. Mary'S Of The Lake Hospital,622310.0,[357]
5382,University of Windsor,611310.0,[39]
5383,Magic Maintenance Inc,561722.0,[493]
5384,Diversified Transportation Ltd.,485990.0,[1737]
5385,Domca Forming Ltd,237130.0,[2814]
5386,Bearskin Lake Air Service Lp,481110.0,[750]
5387,Beneff Concrete Ltd,238120.0,[522]
5388,Tlcm Trenching,237990.0,[375]
5389,Gdi Services (Canada) Lp,561722.0,[27]
5390,Vopak Terminals of Canada Inc.,493190.0,[1304]
5391,TMS International Canada Limited,561990.0,[1186]
5392,Chateau Ottawa Hotel Inc. (c.o.b. as Sheraton Ottawa Hotel),721111.0,[968]
5393,Domtar Inc.,322121.0,[1749]
5394,Trillium Infrastructure Ltd,237110.0,[128]
5395,Birla Carbon Canada Ltd.,325130.0,[1077]
5396,Jamieson Laboratories Limited,325410.0,[6]
5397,Collus PowerStream Corp.,221122.0,[1314]
5398,Bee Clean Building Maintenance,561722.0,[382]
5399,March of Dimes Canada,623222.0,[125]
5400,Laurentian University,611310.0,[744]
5401,Competitive Metals,238220.0,[375]
5402,University Health Network - Toronto General Hospital,622111.0,[243]
5403,Power Line Plus Civil & Electrical Contractor,237130.0,[721]
5404,Waterloo Catholic District School Board,611110.0,[130]
5405,Board of Management of The Toronto Zoo,712130.0,[1901]
5406,Ba International Inc,323119.0,[920]
5407,Crane Edil Equipment,237990.0,[874]
5408,Chimo Youth And Family Services,624190.0,[366]
5409,Zach Glover Construction,237990.0,[32]
5410,Jempak GK Inc,325190.0,[87]
5411,Unitel Construction Ltd,238140.0,[44]
5412,Allteck Mechanical Inc,238220.0,[50]
5413,"Waterloo Region Record, A Division of Metroland Media Group Inc.",511110.0,[1003]
5414,Regional Municipality of Waterloo (Sunnyside Home),623110.0,[46]
5415,Ekum-Sekum Inc (Brantco Construction),237310.0,[693]
5416,Domtar,322121.0,[1245]
5417,Forest Valley Terrace by Symphony,623310.0,[1193]
5418,St Thomas-Elgin General Hospital,622111.0,[373]
5419,Centennial Hotels Limited o/a Cambridge Suites Toronto,721111.0,[246]
5420,Orangeville Hydro Ltd,221122.0,[128]
5421,York Condominium Corporation No. 301,531310.0,[2796]
5422,Omni King Edward Hotel,721111.0,[2844]
5423,Causeway Work Centre,621494.0,[2015]
5424,"Dufferin Concrete, Division of CRH Canada Groups Inc.",327320.0,[52]
5425,Slacan Industries Inc,335930.0,[2199]
5426,Corporation of the City of Guelph,621911.0,[2]
5427,Knollcrest Lodge,623310.0,[3192]
5428,Town Inn Hotel,721111.0,[2359]
5429,Toronto Marriott Bloor Yorkville,721111.0,[1582]
5430,Lakeside Plastics Ltd,326198.0,[712]
5431,Toebe Construction (Canada) Inc,237990.0,[2893]
5432,Roof Vac Inc,238160.0,[87]
5433,Muskoka Ready Mix Inc.,327320.0,[921]
5434,Yorkdale Ford Lincoln Sales,441110.0,[3000]
5435,Chartwell Seniors Housing Reit (Gibson Retirement Home),623310.0,[191]
5436,York Catholic District School Board,611110.0,[613]
5437,"International Union of Operating Engineers, Local 793",813930.0,[79]
5438,Manitoulin Centennial Manor Home For The Aged,623110.0,[1509]
5439,La Coopérative Agricole D'Embrun Ltée,445110.0,[1527]
5440,"Continental Tire Canada, Inc.",541710.0,[806]
5441,MUC Shelter Corporation c.o.b as Sojourn House,624190.0,[875]
5442,Mirolin Industries Corp,326191.0,[118]
5443,Consbec Inc,237310.0,[1911]
5444,Toda Advanced Materials Inc.,335910.0,[2315]
5445,Royal Homes Limited,321992.0,[1862]
5446,Corporation of the County of Frontenac,621911.0,[136]
5447,Oxford Street Valu-Mart,445110.0,[1995]
5448,Hoe-Man Excavating Ltd,237120.0,[805]
5449,Haldimand County Hydro Inc,221122.0,[754]
5450,York Region District School Board,611110.0,[242]
5451,Brighton Beach Power Limited (BBPL),221119.0,[1574]
5452,Community Visions & Networking (Quinte) Association,624120.0,[518]
5453,Holiday Inn Express & Suites,721111.0,[545]
5454,Wright Lithographing Inc.,323119.0,[806]
5455,VON Canada - Ontario Branch Windsor-Essex Site,621610.0,[898]
5456,New Age Aluminum Ltd.,238170.0,[2069]
5457,GDI Services (Canada) LP,561722.0,[27]
5458,Muskoka Algonquin Healthcare,622111.0,[174]
5459,Corporation of the Township of O'Connor,913910.0,[349]
5460,Corporation of The City of St Thomas,913140.0,[2]
5461,Glencore Canada Corporation - Sudbury Integrated Nickel Operations,212232.0,[1902]
5462,Aecon Utilities,236110.0,[2809]
5463,Y.W.C.A Sudbury / Y.W.C.A Genevra House / Y.W.C.A Brookwood Apartments,624190.0,[756]
5464,Pepsico Foods Canada Inc.,311410.0,[1491]
5465,Ross Memorial Hospital,622111.0,[147]
5466,Montevista Contracting Inc,237120.0,[2515]
5467,Lakehead University,611310.0,[280]
5468,Regional Municipality of Peel,623310.0,[1189]
5469,Ventra - Ridgetown Division of Ventra Group Inc,336330.0,[213]
5470,Giorgi Bros (1994) Inc,236220.0,[87]
5471,Canadian Mental Health Assn (Grand River Branch),621420.0,[192]
5472,District of Timiskaming Social Services Administration Board,624190.0,[2652]
5473,Harrowood Seniors Community,623310.0,[518]
5474,Patterned Concrete Ontario Inc,237310.0,[686]
5475,T A G A Contracting Ltd,238190.0,[2250]
5476,Henderson Builders Ltd,237130.0,[1076]
5477,2071111 Ontario Inc. c.o.b. as Comfort Inn & Suites,721111.0,[82]
5478,Project Hostel o/a Yellow Brick House,623991.0,[375]
5479,Huron-Superior Catholic District School Board,611110.0,[810]
5480,Hôpital Glengarry Memorial Hospital,622111.0,[1292]
5481,Doet Excavating & Grading Ltd,237130.0,[65]
5482,Waterloo Catholic District School Board,611110.0,[130]
5483,Jmx Rentals,237990.0,[2992]
5484,OPSEU Pension Trust,526111.0,[375]
5485,Halton Catholic District School Board,611110.0,[163]
5486,Northumberland Hills Hospital,622111.0,[764]
5487,Bay Haven Senior Care Community,623110.0,[3094]
5488,1285368 Ontario Inc (Wall-Tech Drywall),238140.0,[3081]
5489,Brock University,611310.0,[519]
5490,Brian Cullen Motors Limited,441110.0,[2678]
5491,Skycharter Ltd,488190.0,[128]
5492,Dufferin-Peel Catholic District School Board,611110.0,[540]
5493,Ramco Installation Ltd,237130.0,[128]
5494,Hastings And Prince Edward District School Board,611110.0,[272]
5495,"Vanfax, Division of Belron Canada Inc.",811122.0,[2695]
5496,1230172 Ontario Inc. and 2067166 Ontario Inc.,623310.0,[1975]
5497,2035205 Ontario Ltd (Britannia Price Chopper),445110.0,[2482]
5498,"Carswell, A Division of Thomson Reuters Canada",511120.0,[209]
5499,Fusillo Group Ltd,238910.0,[436]
5500,Coleman Care Centre,623110.0,[217]
5501,Veolia Es Canada Industrial Services Inc.,541990.0,[175]
5502,Grand River Hospital Corporation,622111.0,[37]
5503,Peer Support South East Ontario,621420.0,[2308]
5504,Dole Contracting Inc.,238350.0,[2421]
5505,Metro Ontario Inc. c.o.b. as Metro Elmvale Acres,445110.0,[82]
5506,Bluewater Health,622111.0,[495]
5507,"Family and Children's Services of Lanark, Leeds and Grenville",624110.0,[2846]
5508,Corporation of The Township of White River,913910.0,[349]
5509,Cornwall Public Library,519121.0,[329]
5510,Goldcrest Integrated Support Care Centre,624120.0,[375]
5511,Green Land Construction Co,238340.0,[1014]
5512,Leroy Construction Equipment Rental,237310.0,[32]
5513,Waste Management of Canada Corporation,562990.0,[117]
5514,Shepherd Village Inc.,623310.0,[1967]
5515,"Caressant Care Nursing and Retirement Homes Limited, Bonnie Place Nursing Home",623110.0,[1167]
5516,M.J.A. MacGowan Holding Ltd. c.o.b. as Braemar Retirement Home,623110.0,[812]
5517,"Fenner Dunlop (Bracebridge), Inc.",326220.0,[806]
5518,Kingston Central Ambulance Communications Centre,621911.0,[1612]
5519,Auto Warehousing Company Canada Ltd,488490.0,[167]
5520,Sysco Central Ontario,413110.0,[828]
5521,York Condominium Corporation No. 281,531310.0,[2796]
